processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
UHURU1254-15,C5_K1302_Commelina_benghalensis,5426979,C5_K1302_Commelina_benghalensis, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,124958,Commelinales,148688,Commelinaceae, , ,162193,Commelina,306649,Commelina benghalensis, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-064, ,0.34266,36.9124, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1261-15,C9_K1301_Digitaria_milanjiana,5426986,C9_K1301_Digitaria_milanjiana, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae,122462,Panicoideae,121130,Digitaria,204920,Digitaria velutina, , ,Munyao F., , ,Samson Kurukura,10/09/2014, , , ,SKS14-046, ,0.292,36.896, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1381-15,H9_K1301_Echinochloa_pyramidalis,5427106,H9_K1301_Echinochloa_pyramidalis, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae,122462,Panicoideae,121100,Echinochloa,204921,Echinochloa colona, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-047, ,0.444,36.855, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1616-15,D6_K1343,6478203, ,189602357,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42252,Caryophyllales,121675,Amaranthaceae, , ,416364,Aerva,416368,Aerva javanica, , ,N. Mwadime, , ,"Sam Kurukura, Ali Hassan",11/07/2015, , , ,SKS15-168, ,0.42938,36.8826, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1730-17,TK1_A10_SI,7567792, ,TK1_A10_SI,Smithsonian Institution, ,12,Magnoliophyta,41,Magnoliopsida,121159,Malvales,121481,Malvaceae,264271,Malvoideae,191823,Hibiscus,720003,Hibiscus sparseaculeatus, , ,N. Mwadime, , ,Samson Kurukua and Ali hassan,10/02/2016, , , ,SKS16-021,Sp, , , , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU358-14,D10_K1216_Eragrostis_rigidior,4110734,Eragrostis_rigidior_, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,121114,Eragrostis,406687,Eragrostis rigidior, , ,N. Mwadime, , ,Elyse DeFranco,25/04/2013, , , ,EAD_13_046, ,0.481,36.874, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU475-14,D9_K1215_Monsonia_angustifolia,4111383,Monsonia_angustifolia_, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121235,Geraniales,121236,Geraniaceae, , ,306348,Monsonia,591085,Monsonia angustifolia, , ,N. Mwadime, , ,Grace Charles,07/05/2012, , , ,GKC 12-011, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU480-14,A10_K1215_Polygala_sp,4111388,Polygala_sp_, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,121342,Polygalaceae, , ,121343,Polygala,252779,Polygala sphenoptera, , ,N. Mwadime, , ,Grace Charles,05/05/2012, , , ,GKC 12-003, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU533-14,F1_K1245_Kalanchoe,4473395, ,RRH_13_002B,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121186,Saxifragales,121454,Crassulaceae, , ,306380,Kalanchoe,306684,Kalanchoe lanceolata, , ,N. Mwadime, , ,Rhianna Hohbein,16/07/2013, , , ,RRH_13_002B, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU607-14,H10_K1245_Euphorbia_inaequilatera,4473469, ,RRH_13_021D,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42562,Malpighiales,121224,Euphorbiaceae,591667,Euphorbioideae,121225,Euphorbia,390216,Euphorbia inaequilatera, , ,N. Mwadime, , ,Rhianna Hohbein,24/07/2013, , , ,RRH_13_021D, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
